2016/07/31 17:03:50 INFO  - jmeter.util.JMeterUtils: Setting Locale to zh_CN 
2016/07/31 17:03:51 INFO  - jmeter.JMeter: Loading user properties from: /opt/Jmeter/bin/user.properties 
2016/07/31 17:03:51 INFO  - jmeter.JMeter: Loading system properties from: /opt/Jmeter/bin/system.properties 
2016/07/31 17:03:51 INFO  - jmeter.JMeter: Copyright (c) 1998-2016 The Apache Software Foundation 
2016/07/31 17:03:51 INFO  - jmeter.JMeter: Version 3.0 r1743807 
2016/07/31 17:03:51 INFO  - jmeter.JMeter: java.version=1.8.0_92 
2016/07/31 17:03:51 INFO  - jmeter.JMeter: java.vm.name=Java HotSpot(TM) 64-Bit Server VM 
2016/07/31 17:03:51 INFO  - jmeter.JMeter: os.name=Mac OS X 
2016/07/31 17:03:51 INFO  - jmeter.JMeter: os.arch=x86_64 
2016/07/31 17:03:51 INFO  - jmeter.JMeter: os.version=10.11.5 
2016/07/31 17:03:51 INFO  - jmeter.JMeter: file.encoding=UTF-8 
2016/07/31 17:03:51 INFO  - jmeter.JMeter: Max memory     =514850816 
2016/07/31 17:03:51 INFO  - jmeter.JMeter: Available Processors =4 
2016/07/31 17:03:51 INFO  - jmeter.JMeter: Default Locale=中文 (中国) 
2016/07/31 17:03:51 INFO  - jmeter.JMeter: JMeter  Locale=中文 (中国) 
2016/07/31 17:03:51 INFO  - jmeter.JMeter: JMeterHome=/opt/Jmeter 
2016/07/31 17:03:51 INFO  - jmeter.JMeter: user.dir  =/opt/Jmeter/bin 
2016/07/31 17:03:51 INFO  - jmeter.JMeter: PWD       =/opt/Jmeter/bin 
2016/07/31 17:03:51 INFO  - jmeter.JMeter: IP: 192.168.1.106 Name: xiaohutudeMacBook-Air.local FullName: 192.168.1.106 
2016/07/31 17:03:51 INFO  - jmeter.gui.action.LookAndFeelCommand: Using look and feel: com.apple.laf.AquaLookAndFeel [Mac OS X, System] 
2016/07/31 17:03:51 INFO  - jmeter.JMeter: Loaded icon properties from org/apache/jmeter/images/icon.properties 
2016/07/31 17:03:53 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must contain the string: '.functions.' 
2016/07/31 17:03:53 INFO  - jmeter.engine.util.CompoundVariable: Note: Function class names must not contain the string: '.gui.' 
2016/07/31 17:03:54 INFO  - jmeter.util.BSFTestElement: Registering JMeter version of JavaScript engine as work-round for BSF-22 
2016/07/31 17:03:55 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/html is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2016/07/31 17:03:55 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xhtml+xml is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2016/07/31 17:03:55 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for application/xml is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2016/07/31 17:03:55 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/xml is org.apache.jmeter.protocol.http.parser.LagartoBasedHtmlParser 
2016/07/31 17:03:55 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/vnd.wap.wml is org.apache.jmeter.protocol.http.parser.RegexpHTMLParser 
2016/07/31 17:03:55 INFO  - jmeter.protocol.http.sampler.HTTPSamplerBase: Parser for text/css is org.apache.jmeter.protocol.http.parser.CssParser 
2016/07/31 17:03:55 INFO  - jorphan.exec.KeyToolUtils: keytool found at 'keytool' 
2016/07/31 17:03:55 INFO  - jmeter.protocol.http.proxy.ProxyControl: HTTP(S) Test Script Recorder SSL Proxy will use keys that support embedded 3rd party resources in file /opt/Jmeter/bin/proxyserver.jks 
2016/07/31 17:03:55 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.protocol.mongodb.config.MongoSourceElement 
2016/07/31 17:03:55 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.protocol.mongodb.sampler.MongoScriptSampler 
2016/07/31 17:03:56 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.visualizers.DistributionGraphVisualizer 
2016/07/31 17:03:56 INFO  - jmeter.samplers.SampleResult: Note: Sample TimeStamps are START times 
2016/07/31 17:03:56 INFO  - jmeter.samplers.SampleResult: sampleresult.default.encoding is set to utf-8 
2016/07/31 17:03:56 INFO  - jmeter.samplers.SampleResult: sampleresult.useNanoTime=true 
2016/07/31 17:03:56 INFO  - jmeter.samplers.SampleResult: sampleresult.nanoThreadSleep=5000 
2016/07/31 17:03:56 INFO  - jmeter.gui.util.MenuFactory: Skipping org.apache.jmeter.visualizers.SplineVisualizer 
2016/07/31 17:04:22 INFO  - jmeter.services.FileServer: Default base='/opt/Jmeter/bin' 
2016/07/31 17:04:22 INFO  - jmeter.gui.action.Load: Loading file: /opt/Jmeter/script/jiuai.jmx 
2016/07/31 17:04:22 INFO  - jmeter.services.FileServer: Set new base='/opt/Jmeter/script' 
2016/07/31 17:04:22 INFO  - jmeter.save.SaveService: Testplan (JMX) version: 2.2. Testlog (JTL) version: 2.2 
2016/07/31 17:04:22 INFO  - jmeter.save.SaveService: Using SaveService properties file encoding UTF-8 
2016/07/31 17:04:22 INFO  - jmeter.save.SaveService: Using SaveService properties version 2.9 
2016/07/31 17:04:22 INFO  - jmeter.save.SaveService: All converter versions present and correct 
2016/07/31 17:04:22 INFO  - jmeter.save.SaveService: Loading file: /opt/Jmeter/script/jiuai.jmx 
2016/07/31 17:04:23 INFO  - jmeter.services.FileServer: Set new base='/opt/Jmeter/script' 
2016/07/31 17:04:26 INFO  - jmeter.engine.StandardJMeterEngine: Running the test! 
2016/07/31 17:04:26 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2016/07/31 17:04:26 INFO  - jmeter.samplers.SampleEvent: List of sample_variables: [] 
2016/07/31 17:04:26 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,*local*) 
2016/07/31 17:04:26 INFO  - jmeter.engine.StandardJMeterEngine: Starting ThreadGroup: 1 : 登录 
2016/07/31 17:04:26 INFO  - jmeter.engine.StandardJMeterEngine: Starting 1 threads for group 登录. 
2016/07/31 17:04:26 INFO  - jmeter.engine.StandardJMeterEngine: Thread will continue on error 
2016/07/31 17:04:26 INFO  - jmeter.threads.ThreadGroup: Starting thread group number 1 threads 1 ramp-up 1 perThread 1000.0 delayedStart=false 
2016/07/31 17:04:26 INFO  - jmeter.threads.ThreadGroup: Started thread group number 1 
